dataset,variable,value,label
ch,IM6PENTA3M,0,PAS DONNE
ch,IM6PENTA3M,44,MARQUE SUR CARTE
ch,IM6PENTA3M,66,MERE REPORTEE
ch,IM6PENTA3M,99,NON REPONSE
ch,IM6PENTA3Y,0,PAS DONNE
ch,IM6PENTA3Y,4444,MARQUE SUR CARTE
ch,IM6PENTA3Y,6666,MERE REPORTEE
ch,IM6PENTA3Y,9999,NON REPONSE
ch,IM6VPO1D,0,PAS DONNE
ch,IM6VPO1D,44,MARQUE SUR CARTE
ch,IM6VPO1D,66,MERE REPORTEE
ch,IM6VPO1D,99,NON REPONSE
ch,IM6VPO1M,0,PAS DONNE
ch,IM6VPO1M,44,MARQUE SUR CARTE
ch,IM6VPO1M,66,MERE REPORTEE
ch,IM6VPO1M,99,NON REPONSE
ch,IM6VPO1Y,0,PAS DONNE
ch,IM6VPO1Y,4444,MARQUE SUR CARTE
ch,IM6VPO1Y,6666,MERE REPORTEE
ch,IM6VPO1Y,9999,NON REPONSE
ch,IM6VPC3D,0,PAS DONNE
ch,IM6VPC3D,44,MARQUE SUR CARTE
ch,IM6VPC3D,66,MERE REPORTEE
ch,IM6VPC3D,99,NON REPONSE
ch,IM6VPC3M,0,PAS DONNE
ch,IM6VPC3M,44,MARQUE SUR CARTE
ch,IM6VPC3M,66,MERE REPORTEE
ch,IM6VPC3M,99,NON REPONSE
ch,IM6VPC3Y,0,PAS DONNE
ch,IM6VPC3Y,4444,MARQUE SUR CARTE
ch,IM6VPC3Y,6666,MERE REPORTEE
ch,IM6VPC3Y,9999,NON REPONSE
ch,IM6RR1D,0,PAS DONNE
ch,IM6RR1D,44,MARQUE SUR CARTE
ch,IM6RR1D,66,MERE REPORTEE
ch,IM6RR1D,99,NON REPONSE
ch,IM6RR1M,0,PAS DONNE
ch,IM6RR1M,44,MARQUE SUR CARTE
ch,IM6RR1M,66,MERE REPORTEE
ch,IM6RR1M,99,NON REPONSE
ch,IM6RR1Y,0,PAS DONNE
ch,IM6RR1Y,4444,MARQUE SUR CARTE
ch,IM6RR1Y,6666,MERE REPORTEE
ch,IM6RR1Y,9999,NON REPONSE
ch,IM6VHAD,0,PAS DONNE
ch,IM6VHAD,44,MARQUE SUR CARTE
ch,IM6VHAD,66,MERE REPORTEE
ch,IM6VHAD,99,NON REPONSE
ch,IM6VHAM,0,PAS DONNE
ch,IM6VHAM,44,MARQUE SUR CARTE
ch,IM6VHAM,66,MERE REPORTEE
ch,IM6VHAM,99,NON REPONSE
ch,IM6VHAY,0,PAS DONNE
ch,IM6VHAY,4444,MARQUE SUR CARTE
ch,IM6VHAY,6666,MERE REPORTEE
ch,IM6VHAY,9999,NON REPONSE
ch,IM6RR2D,0,PAS DONNE
ch,IM6RR2D,44,MARQUE SUR CARTE
ch,IM6RR2D,66,MERE REPORTEE
ch,IM6RR2D,99,NON REPONSE
ch,IM6RR2M,0,PAS DONNE
ch,IM6RR2M,44,MARQUE SUR CARTE
ch,IM6RR2M,66,MERE REPORTEE
ch,IM6RR2M,99,NON REPONSE
ch,IM6RR2Y,0,PAS DONNE
ch,IM6RR2Y,4444,MARQUE SUR CARTE
ch,IM6RR2Y,6666,MERE REPORTEE
ch,IM6RR2Y,9999,NON REPONSE
ch,IM6DTCRD,0,PAS DONNE
ch,IM6DTCRD,44,MARQUE SUR CARTE
ch,IM6DTCRD,66,MERE REPORTEE
ch,IM6DTCRD,99,NON REPONSE
ch,IM6DTCRM,0,PAS DONNE
ch,IM6DTCRM,44,MARQUE SUR CARTE
ch,IM6DTCRM,66,MERE REPORTEE
ch,IM6DTCRM,99,NON REPONSE
ch,IM6DTCRY,0,PAS DONNE
ch,IM6DTCRY,4444,MARQUE SUR CARTE
ch,IM6DTCRY,6666,MERE REPORTEE
ch,IM6DTCRY,9999,NON REPONSE
ch,IM6VPORD,0,PAS DONNE
ch,IM6VPORD,44,MARQUE SUR CARTE
ch,IM6VPORD,66,MERE REPORTEE
ch,IM6VPORD,99,NON REPONSE
ch,IM6VPORM,0,PAS DONNE
ch,IM6VPORM,44,MARQUE SUR CARTE
ch,IM6VPORM,66,MERE REPORTEE
ch,IM6VPORM,99,NON REPONSE
ch,IM6VPORY,0,PAS DONNE
ch,IM6VPORY,4444,MARQUE SUR CARTE
ch,IM6VPORY,6666,MERE REPORTEE
ch,IM6VPORY,9999,NON REPONSE
ch,IM9,1,OUI
ch,IM9,2,NON
ch,IM9,8,NSP
ch,IM9,9,NON REPONSE
ch,IM11,1,OUI
ch,IM11,2,NON
ch,IM11,8,NSP
ch,IM11,9,NON REPONSE
ch,IM14,1,OUI
ch,IM14,2,NON
ch,IM14,8,NSP
ch,IM14,9,NON REPONSE
ch,IM15,1,"OUI, DANS LES 24 HEURES"
ch,IM15,2,"OUI, MAIS PAS DANS LES 24 HEURES"
ch,IM15,3,NON
ch,IM15,8,NSP
ch,IM15,9,NON REPONSE
ch,IM16,1,OUI
ch,IM16,2,NON
ch,IM16,8,NSP
ch,IM16,9,NON REPONSE
ch,IM18,1,UNE
ch,IM18,2,DEUX
ch,IM18,3,TROIS
ch,IM18,4,QUATRE
ch,IM18,5,CINQ
ch,IM18,6,SIX
ch,IM18,7,SEPT
ch,IM18,8,NSP
ch,IM18,9,NON REPONSE
ch,IM19,1,OUI
ch,IM19,2,NON
ch,IM19,8,NSP
ch,IM19,9,NON REPONSE
ch,IM19A,1,UNE
ch,IM19A,2,DEUX
ch,IM19A,3,TROIS
ch,IM19A,4,QUATRE
ch,IM19A,5,CINQ
ch,IM19A,6,SIX
ch,IM19A,7,SEPT
ch,IM19A,8,NSP
ch,IM19A,9,NON REPONSE
ch,IM20,1,OUI
ch,IM20,2,NON
ch,IM20,8,NSP
ch,IM20,9,NON REPONSE
ch,IM20A,1,OUI
ch,IM20A,2,NON
ch,IM20A,8,NSP
ch,IM20A,9,NON REPONSE
ch,IM20B,1,OUI
ch,IM20B,2,NON
ch,IM20B,8,NSP
ch,IM20B,9,NON REPONSE
ch,IM22,1,OUI
ch,IM22,2,NON
ch,IM22,8,NSP
ch,IM22,9,NON REPONSE
ch,IM23,1,UNE
ch,IM23,2,DEUX
ch,IM23,3,TROIS
ch,IM23,4,QUATRE
ch,IM23,5,CINQ
ch,IM23,6,SIX
ch,IM23,7,SEPT
ch,IM23,8,NSP
ch,IM23,9,NON REPONSE
ch,IM26,1,OUI
ch,IM26,2,NON
ch,IM26,8,NSP
ch,IM26,9,NON REPONSE
ch,IM26A,1,UNE
ch,IM26A,2,DEUX
ch,IM26A,3,TROIS
ch,IM26A,4,QUATRE
ch,IM26A,5,CINQ
ch,IM26A,6,SIX
ch,IM26A,7,SEPT
ch,IM26A,8,NSP
ch,IM26A,9,NON REPONSE
ch,IM29,1,OUI
ch,IM29,2,NON
ch,IM29,8,NSP
ch,IM29,9,NON REPONSE
ch,IM30,1,OUI
ch,IM30,2,NON
ch,IM30,8,NSP
ch,IM30,9,NON REPONSE
ch,IMP6BD,0,PAS DONNE
ch,IMP6BD,44,MARQUE SUR CARTE
ch,IMP6BD,66,MERE REPORTEE
ch,IMP6BD,99,NON REPONSE
ch,IMP6BM,0,PAS DONNE
ch,IMP6BM,44,MARQUE SUR CARTE
ch,IMP6BM,66,MERE REPORTEE
ch,IMP6BM,99,NON REPONSE
ch,IMP6BY,0,PAS DONNE
ch,IMP6BY,4444,MARQUE SUR CARTE
ch,IMP6BY,6666,MERE REPORTEE
ch,IMP6BY,9999,NON REPONSE
ch,IMP6VHB0D,0,PAS DONNE
ch,IMP6VHB0D,44,MARQUE SUR CARTE
ch,IMP6VHB0D,66,MERE REPORTEE
ch,IMP6VHB0D,99,NON REPONSE
ch,IMP6VHB0M,0,PAS DONNE
ch,IMP6VHB0M,44,MARQUE SUR CARTE
ch,IMP6VHB0M,66,MERE REPORTEE
ch,IMP6VHB0M,99,NON REPONSE
ch,IMP6VHB0Y,0,PAS DONNE
ch,IMP6VHB0Y,4444,MARQUE SUR CARTE
ch,IMP6VHB0Y,6666,MERE REPORTEE
ch,IMP6VHB0Y,9999,NON REPONSE
ch,IMP6HEXA1D,0,PAS DONNE
ch,IMP6HEXA1D,44,MARQUE SUR CARTE
ch,IMP6HEXA1D,66,MERE REPORTEE
ch,IMP6HEXA1D,99,NON REPONSE
ch,IMP6HEXA1M,0,PAS DONNE
ch,IMP6HEXA1M,44,MARQUE SUR CARTE
ch,IMP6HEXA1M,66,MERE REPORTEE
ch,IMP6HEXA1M,99,NON REPONSE
ch,IMP6HEXA1Y,0,PAS DONNE
ch,IMP6HEXA1Y,4444,MARQUE SUR CARTE
ch,IMP6HEXA1Y,6666,MERE REPORTEE
ch,IMP6HEXA1Y,9999,NON REPONSE
ch,IMP6HEXA2D,0,PAS DONNE
ch,IMP6HEXA2D,44,MARQUE SUR CARTE
ch,IMP6HEXA2D,66,MERE REPORTEE
ch,IMP6HEXA2D,99,NON REPONSE
ch,IMP6HEXA2M,0,PAS DONNE
ch,IMP6HEXA2M,44,MARQUE SUR CARTE
ch,IMP6HEXA2M,66,MERE REPORTEE
ch,IMP6HEXA2M,99,NON REPONSE
ch,IMP6HEXA2Y,0,PAS DONNE
ch,IMP6HEXA2Y,4444,MARQUE SUR CARTE
ch,IMP6HEXA2Y,6666,MERE REPORTEE
ch,IMP6HEXA2Y,9999,NON REPONSE
ch,IMP6HEXA3D,0,PAS DONNE
ch,IMP6HEXA3D,44,MARQUE SUR CARTE
ch,IMP6HEXA3D,66,MERE REPORTEE
ch,IMP6HEXA3D,99,NON REPONSE
ch,IMP6HEXA3M,0,PAS DONNE
ch,IMP6HEXA3M,44,MARQUE SUR CARTE
ch,IMP6HEXA3M,66,MERE REPORTEE
ch,IMP6HEXA3M,99,NON REPONSE
ch,IMP6HEXA3Y,0,PAS DONNE
ch,IMP6HEXA3Y,4444,MARQUE SUR CARTE
ch,IMP6HEXA3Y,6666,MERE REPORTEE
ch,IMP6HEXA3Y,9999,NON REPONSE
ch,IMP6PENTAXIM1D,0,PAS DONNE
ch,IMP6PENTAXIM1D,44,MARQUE SUR CARTE
ch,IMP6PENTAXIM1D,66,MERE REPORTEE
ch,IMP6PENTAXIM1D,99,NON REPONSE
ch,IMP6PENTAXIM1M,0,PAS DONNE
ch,IMP6PENTAXIM1M,44,MARQUE SUR CARTE
ch,IMP6PENTAXIM1M,66,MERE REPORTEE
ch,IMP6PENTAXIM1M,99,NON REPONSE
ch,IMP6PENTAXIM1Y,0,PAS DONNE
ch,IMP6PENTAXIM1Y,4444,MARQUE SUR CARTE
ch,IMP6PENTAXIM1Y,6666,MERE REPORTEE
ch,IMP6PENTAXIM1Y,9999,NON REPONSE
ch,IMP6PENTAXIM2D,0,PAS DONNE
ch,IMP6PENTAXIM2D,44,MARQUE SUR CARTE
ch,IMP6PENTAXIM2D,66,MERE REPORTEE
ch,IMP6PENTAXIM2D,99,NON REPONSE
ch,IMP6PENTAXIM2M,0,PAS DONNE
ch,IMP6PENTAXIM2M,44,MARQUE SUR CARTE
ch,IMP6PENTAXIM2M,66,MERE REPORTEE
ch,IMP6PENTAXIM2M,99,NON REPONSE
ch,IMP6PENTAXIM2Y,0,PAS DONNE
ch,IMP6PENTAXIM2Y,4444,MARQUE SUR CARTE
ch,IMP6PENTAXIM2Y,6666,MERE REPORTEE
ch,IMP6PENTAXIM2Y,9999,NON REPONSE
ch,IMP6PENTAXIM3D,0,PAS DONNE
ch,IMP6PENTAXIM3D,44,MARQUE SUR CARTE
ch,IMP6PENTAXIM3D,66,MERE REPORTEE
ch,IMP6PENTAXIM3D,99,NON REPONSE
ch,IMP6PENTAXIM3M,0,PAS DONNE
ch,IMP6PENTAXIM3M,44,MARQUE SUR CARTE
ch,IMP6PENTAXIM3M,66,MERE REPORTEE
ch,IMP6PENTAXIM3M,99,NON REPONSE
ch,IMP6PENTAXIM3Y,0,PAS DONNE
ch,IMP6PENTAXIM3Y,4444,MARQUE SUR CARTE
ch,IMP6PENTAXIM3Y,6666,MERE REPORTEE
ch,IMP6PENTAXIM3Y,9999,NON REPONSE
ch,IMP6TETRAXIM1D,0,PAS DONNE
ch,IMP6TETRAXIM1D,44,MARQUE SUR CARTE
ch,IMP6TETRAXIM1D,66,MERE REPORTEE
ch,IMP6TETRAXIM1D,99,NON REPONSE
ch,IMP6TETRAXIM1M,0,PAS DONNE
ch,IMP6TETRAXIM1M,44,MARQUE SUR CARTE
ch,IMP6TETRAXIM1M,66,MERE REPORTEE
ch,IMP6TETRAXIM1M,99,NON REPONSE
ch,IMP6TETRAXIM1Y,0,PAS DONNE
ch,IMP6TETRAXIM1Y,4444,MARQUE SUR CARTE
ch,IMP6TETRAXIM1Y,6666,MERE REPORTEE
ch,IMP6TETRAXIM1Y,9999,NON REPONSE
ch,IMP6TETRAXIM2D,0,PAS DONNE
ch,IMP6TETRAXIM2D,44,MARQUE SUR CARTE
ch,IMP6TETRAXIM2D,66,MERE REPORTEE
ch,IMP6TETRAXIM2D,99,NON REPONSE
ch,IMP6TETRAXIM2M,0,PAS DONNE
ch,IMP6TETRAXIM2M,44,MARQUE SUR CARTE
ch,IMP6TETRAXIM2M,66,MERE REPORTEE
ch,IMP6TETRAXIM2M,99,NON REPONSE
ch,IMP6TETRAXIM2Y,0,PAS DONNE
ch,IMP6TETRAXIM2Y,4444,MARQUE SUR CARTE
ch,IMP6TETRAXIM2Y,6666,MERE REPORTEE
ch,IMP6TETRAXIM2Y,9999,NON REPONSE
ch,IMP6TETRAXIM3D,0,PAS DONNE
ch,IMP6TETRAXIM3D,44,MARQUE SUR CARTE
ch,IMP6TETRAXIM3D,66,MERE REPORTEE
ch,IMP6TETRAXIM3D,99,NON REPONSE
ch,IMP6TETRAXIM3M,0,PAS DONNE
ch,IMP6TETRAXIM3M,44,MARQUE SUR CARTE
ch,IMP6TETRAXIM3M,66,MERE REPORTEE
ch,IMP6TETRAXIM3M,99,NON REPONSE
ch,IMP6TETRAXIM3Y,0,PAS DONNE
ch,IMP6TETRAXIM3Y,4444,MARQUE SUR CARTE
ch,IMP6TETRAXIM3Y,6666,MERE REPORTEE
ch,IMP6TETRAXIM3Y,9999,NON REPONSE
ch,IMP6HEPB1D,0,PAS DONNE
ch,IMP6HEPB1D,44,MARQUE SUR CARTE
ch,IMP6HEPB1D,66,MERE REPORTEE
ch,IMP6HEPB1D,99,NON REPONSE
ch,IMP6HEPB1M,0,PAS DONNE
ch,IMP6HEPB1M,44,MARQUE SUR CARTE
ch,IMP6HEPB1M,66,MERE REPORTEE
ch,IMP6HEPB1M,99,NON REPONSE
ch,IMP6HEPB1Y,0,PAS DONNE
ch,IMP6HEPB1Y,4444,MARQUE SUR CARTE
ch,IMP6HEPB1Y,6666,MERE REPORTEE
ch,IMP6HEPB1Y,9999,NON REPONSE
ch,IMP6HEPB2D,0,PAS DONNE
ch,IMP6HEPB2D,44,MARQUE SUR CARTE
ch,IMP6HEPB2D,66,MERE REPORTEE
ch,IMP6HEPB2D,99,NON REPONSE
ch,IMP6HEPB2M,0,PAS DONNE
ch,IMP6HEPB2M,44,MARQUE SUR CARTE
ch,IMP6HEPB2M,66,MERE REPORTEE
ch,IMP6HEPB2M,99,NON REPONSE
ch,IMP6HEPB2Y,0,PAS DONNE
ch,IMP6HEPB2Y,4444,MARQUE SUR CARTE
ch,IMP6HEPB2Y,6666,MERE REPORTEE
ch,IMP6HEPB2Y,9999,NON REPONSE
ch,IMP6HEPB3D,0,PAS DONNE
ch,IMP6HEPB3D,44,MARQUE SUR CARTE
ch,IMP6HEPB3D,66,MERE REPORTEE
ch,IMP6HEPB3D,99,NON REPONSE
ch,IMP6HEPB3M,0,PAS DONNE
ch,IMP6HEPB3M,44,MARQUE SUR CARTE
ch,IMP6HEPB3M,66,MERE REPORTEE
ch,IMP6HEPB3M,99,NON REPONSE
ch,IMP6HEPB3Y,0,PAS DONNE
ch,IMP6HEPB3Y,4444,MARQUE SUR CARTE
ch,IMP6HEPB3Y,6666,MERE REPORTEE
ch,IMP6HEPB3Y,9999,NON REPONSE
ch,IMP6HIB1D,0,PAS DONNE
ch,IMP6HIB1D,44,MARQUE SUR CARTE
ch,IMP6HIB1D,66,MERE REPORTEE
ch,IMP6HIB1D,99,NON REPONSE
ch,IMP6HIB1M,0,PAS DONNE
ch,IMP6HIB1M,44,MARQUE SUR CARTE
ch,IMP6HIB1M,66,MERE REPORTEE
ch,IMP6HIB1M,99,NON REPONSE
ch,IMP6HIB1Y,0,PAS DONNE
ch,IMP6HIB1Y,4444,MARQUE SUR CARTE
ch,IMP6HIB1Y,6666,MERE REPORTEE
ch,IMP6HIB1Y,9999,NON REPONSE
ch,IMP6HIB2D,0,PAS DONNE
ch,IMP6HIB2D,44,MARQUE SUR CARTE
ch,IMP6HIB2D,66,MERE REPORTEE
ch,IMP6HIB2D,99,NON REPONSE
ch,IMP6HIB2M,0,PAS DONNE
ch,IMP6HIB2M,44,MARQUE SUR CARTE
ch,IMP6HIB2M,66,MERE REPORTEE
ch,IMP6HIB2M,99,NON REPONSE
ch,IMP6HIB2Y,0,PAS DONNE
ch,IMP6HIB2Y,4444,MARQUE SUR CARTE
ch,IMP6HIB2Y,6666,MERE REPORTEE
ch,IMP6HIB2Y,9999,NON REPONSE
ch,IMP6HIB3D,0,PAS DONNE
ch,IMP6HIB3D,44,MARQUE SUR CARTE
ch,IMP6HIB3D,66,MERE REPORTEE
ch,IMP6HIB3D,99,NON REPONSE
ch,IMP6HIB3M,0,PAS DONNE
ch,IMP6HIB3M,44,MARQUE SUR CARTE
ch,IMP6HIB3M,66,MERE REPORTEE
ch,IMP6HIB3M,99,NON REPONSE
ch,IMP6HIB3Y,0,PAS DONNE
ch,IMP6HIB3Y,4444,MARQUE SUR CARTE
ch,IMP6HIB3Y,6666,MERE REPORTEE
ch,IMP6HIB3Y,9999,NON REPONSE
ch,IMP6PREVNARSYNFLO1D,0,PAS DONNE
ch,IMP6PREVNARSYNFLO1D,44,MARQUE SUR CARTE
ch,IMP6PREVNARSYNFLO1D,66,MERE REPORTEE
ch,IMP6PREVNARSYNFLO1D,99,NON REPONSE
ch,IMP6PREVNARSYNFLO1M,0,PAS DONNE
ch,IMP6PREVNARSYNFLO1M,44,MARQUE SUR CARTE
ch,IMP6PREVNARSYNFLO1M,66,MERE REPORTEE
ch,IMP6PREVNARSYNFLO1M,99,NON REPONSE
ch,IMP6PREVNARSYNFLO1Y,0,PAS DONNE
ch,IMP6PREVNARSYNFLO1Y,4444,MARQUE SUR CARTE
ch,IMP6PREVNARSYNFLO1Y,6666,MERE REPORTEE
ch,IMP6PREVNARSYNFLO1Y,9999,NON REPONSE
ch,IMP6PREVNARSYNFLO2D,0,PAS DONNE
ch,IMP6PREVNARSYNFLO2D,44,MARQUE SUR CARTE
ch,IMP6PREVNARSYNFLO2D,66,MERE REPORTEE
ch,IMP6PREVNARSYNFLO2D,99,NON REPONSE
ch,IMP6PREVNARSYNFLO2M,0,PAS DONNE
ch,IMP6PREVNARSYNFLO2M,44,MARQUE SUR CARTE
ch,IMP6PREVNARSYNFLO2M,66,MERE REPORTEE
ch,IMP6PREVNARSYNFLO2M,99,NON REPONSE
ch,IMP6PREVNARSYNFLO2Y,0,PAS DONNE
ch,IMP6PREVNARSYNFLO2Y,4444,MARQUE SUR CARTE
ch,IMP6PREVNARSYNFLO2Y,6666,MERE REPORTEE
ch,IMP6PREVNARSYNFLO2Y,9999,NON REPONSE
ch,IMP6PREVNARSYNFLO3D,0,PAS DONNE
ch,IMP6PREVNARSYNFLO3D,44,MARQUE SUR CARTE
ch,IMP6PREVNARSYNFLO3D,66,MERE REPORTEE
ch,IMP6PREVNARSYNFLO3D,99,NON REPONSE
ch,IMP6PREVNARSYNFLO3M,0,PAS DONNE
ch,IMP6PREVNARSYNFLO3M,44,MARQUE SUR CARTE
ch,IMP6PREVNARSYNFLO3M,66,MERE REPORTEE
ch,IMP6PREVNARSYNFLO3M,99,NON REPONSE
ch,IMP6PREVNARSYNFLO3Y,0,PAS DONNE
ch,IMP6PREVNARSYNFLO3Y,4444,MARQUE SUR CARTE
ch,IMP6PREVNARSYNFLO3Y,6666,MERE REPORTEE
ch,IMP6PREVNARSYNFLO3Y,9999,NON REPONSE
ch,IMP6PREVNARSYNFLO4D,0,PAS DONNE
ch,IMP6PREVNARSYNFLO4D,44,MARQUE SUR CARTE
ch,IMP6PREVNARSYNFLO4D,66,MERE REPORTEE
ch,IMP6PREVNARSYNFLO4D,99,NON REPONSE
ch,IMP6PREVNARSYNFLO4M,0,PAS DONNE
ch,IMP6PREVNARSYNFLO4M,44,MARQUE SUR CARTE
ch,IMP6PREVNARSYNFLO4M,66,MERE REPORTEE
ch,IMP6PREVNARSYNFLO4M,99,NON REPONSE
ch,IMP6PREVNARSYNFLO4Y,0,PAS DONNE
ch,IMP6PREVNARSYNFLO4Y,4444,MARQUE SUR CARTE
ch,IMP6PREVNARSYNFLO4Y,6666,MERE REPORTEE
ch,IMP6PREVNARSYNFLO4Y,9999,NON REPONSE
ch,IMP6ROTARIX1D,0,PAS DONNE
ch,IMP6ROTARIX1D,44,MARQUE SUR CARTE
ch,IMP6ROTARIX1D,66,MERE REPORTEE
ch,IMP6ROTARIX1D,99,NON REPONSE
ch,IMP6ROTARIX1M,0,PAS DONNE
ch,IMP6ROTARIX1M,44,MARQUE SUR CARTE
ch,IMP6ROTARIX1M,66,MERE REPORTEE
ch,IMP6ROTARIX1M,99,NON REPONSE
ch,IMP6ROTARIX1Y,0,PAS DONNE
ch,IMP6ROTARIX1Y,4444,MARQUE SUR CARTE
ch,IMP6ROTARIX1Y,6666,MERE REPORTEE
ch,IMP6ROTARIX1Y,9999,NON REPONSE
ch,IMP6ROTARIX2D,0,PAS DONNE
ch,IMP6ROTARIX2D,44,MARQUE SUR CARTE
ch,IMP6ROTARIX2D,66,MERE REPORTEE
ch,IMP6ROTARIX2D,99,NON REPONSE
ch,IMP6ROTARIX2M,0,PAS DONNE
ch,IMP6ROTARIX2M,44,MARQUE SUR CARTE
ch,IMP6ROTARIX2M,66,MERE REPORTEE
ch,IMP6ROTARIX2M,99,NON REPONSE
ch,IMP6ROTARIX2Y,0,PAS DONNE
ch,IMP6ROTARIX2Y,4444,MARQUE SUR CARTE
ch,IMP6ROTARIX2Y,6666,MERE REPORTEE
ch,IMP6ROTARIX2Y,9999,NON REPONSE
ch,IMP6PRIORIX1D,0,PAS DONNE
ch,IMP6PRIORIX1D,44,MARQUE SUR CARTE
ch,IMP6PRIORIX1D,66,MERE REPORTEE
ch,IMP6PRIORIX1D,99,NON REPONSE
ch,IMP6PRIORIX1M,0,PAS DONNE
ch,IMP6PRIORIX1M,44,MARQUE SUR CARTE
ch,IMP6PRIORIX1M,66,MERE REPORTEE
ch,IMP6PRIORIX1M,99,NON REPONSE
ch,IMP6PRIORIX1Y,0,PAS DONNE
ch,IMP6PRIORIX1Y,4444,MARQUE SUR CARTE
ch,IMP6PRIORIX1Y,6666,MERE REPORTEE
ch,IMP6PRIORIX1Y,9999,NON REPONSE
ch,IMP6PRIORIX2D,0,PAS DONNE
ch,IMP6PRIORIX2D,44,MARQUE SUR CARTE
ch,IMP6PRIORIX2D,66,MERE REPORTEE
ch,IMP6PRIORIX2D,99,NON REPONSE
ch,IMP6PRIORIX2M,0,PAS DONNE
ch,IMP6PRIORIX2M,44,MARQUE SUR CARTE
ch,IMP6PRIORIX2M,66,MERE REPORTEE
ch,IMP6PRIORIX2M,99,NON REPONSE
ch,IMP6PRIORIX2Y,0,PAS DONNE
ch,IMP6PRIORIX2Y,4444,MARQUE SUR CARTE
ch,IMP6PRIORIX2Y,6666,MERE REPORTEE
ch,IMP6PRIORIX2Y,9999,NON REPONSE
ch,IMP6HAVRIXHEALIV1D,0,PAS DONNE
ch,IMP6HAVRIXHEALIV1D,44,MARQUE SUR CARTE
ch,IMP6HAVRIXHEALIV1D,66,MERE REPORTEE
ch,IMP6HAVRIXHEALIV1D,99,NON REPONSE
ch,IMP6HAVRIXHEALIV1M,0,PAS DONNE
ch,IMP6HAVRIXHEALIV1M,44,MARQUE SUR CARTE
ch,IMP6HAVRIXHEALIV1M,66,MERE REPORTEE
ch,IMP6HAVRIXHEALIV1M,99,NON REPONSE
ch,IMP6HAVRIXHEALIV1Y,0,PAS DONNE
ch,IMP6HAVRIXHEALIV1Y,4444,MARQUE SUR CARTE
ch,IMP6HAVRIXHEALIV1Y,6666,MERE REPORTEE
ch,IMP6HAVRIXHEALIV1Y,9999,NON REPONSE
ch,IMP6HAVRIXHEALIV2D,0,PAS DONNE
ch,IMP6HAVRIXHEALIV2D,44,MARQUE SUR CARTE
ch,IMP6HAVRIXHEALIV2D,66,MERE REPORTEE
ch,IMP6HAVRIXHEALIV2D,99,NON REPONSE
ch,IMP6HAVRIXHEALIV2M,0,PAS DONNE
ch,IMP6HAVRIXHEALIV2M,44,MARQUE SUR CARTE
ch,IMP6HAVRIXHEALIV2M,66,MERE REPORTEE
ch,IMP6HAVRIXHEALIV2M,99,NON REPONSE
ch,IMP6HAVRIXHEALIV2Y,0,PAS DONNE
ch,IMP6HAVRIXHEALIV2Y,4444,MARQUE SUR CARTE
ch,IMP6HAVRIXHEALIV2Y,6666,MERE REPORTEE
ch,IMP6HAVRIXHEALIV2Y,9999,NON REPONSE
ch,IMP6RTETRAXIMPENTAD,0,PAS DONNE
ch,IMP6RTETRAXIMPENTAD,44,MARQUE SUR CARTE
ch,IMP6RTETRAXIMPENTAD,66,MERE REPORTEE
ch,IMP6RTETRAXIMPENTAD,99,NON REPONSE
ch,IMP6RTETRAXIMPENTAM,0,PAS DONNE
ch,IMP6RTETRAXIMPENTAM,44,MARQUE SUR CARTE
ch,IMP6RTETRAXIMPENTAM,66,MERE REPORTEE
ch,IMP6RTETRAXIMPENTAM,99,NON REPONSE
ch,IMP6RTETRAXIMPENTAY,0,PAS DONNE
ch,IMP6RTETRAXIMPENTAY,4444,MARQUE SUR CARTE
ch,IMP6RTETRAXIMPENTAY,6666,MERE REPORTEE
ch,IMP6RTETRAXIMPENTAY,9999,NON REPONSE
ch,IMP9,1,OUI
ch,IMP9,2,NON
ch,IMP9,8,NSP
ch,IMP9,9,NON REPONSE
ch,IMP11,1,OUI
ch,IMP11,2,NON
ch,IMP11,8,NSP
ch,IMP11,9,NON REPONSE
ch,IMP14,1,OUI
ch,IMP14,2,NON
ch,IMP14,8,NSP
ch,IMP14,9,NON REPONSE
ch,IMP15,1,"OUI, DANS LES 24 HEURES"
ch,IMP15,2,"OUI, MAIS PAS DANS LES 24 HEURES"
ch,IMP15,3,NON
ch,IMP15,8,NSP
ch,IMP15,9,NON REPONSE
ch,IMP20B,1,OUI
ch,IMP20B,2,NON
ch,IMP20B,8,NSP
ch,IMP20B,9,NON REPONSE
ch,IMP21B,1,UNE
ch,IMP21B,2,DEUX
ch,IMP21B,3,TROIS
ch,IMP21B,4,QUATRE
ch,IMP21B,5,CINQ
ch,IMP21B,6,SIX
ch,IMP21B,7,SEPT
ch,IMP21B,8,NSP
ch,IMP21B,9,NON REPONSE
ch,IMP20C,1,OUI
ch,IMP20C,2,NON
ch,IMP20C,8,NSP
ch,IMP20C,9,NON REPONSE
ch,IMP21C,1,UNE
ch,IMP21C,2,DEUX
ch,IMP21C,3,TROIS
ch,IMP21C,4,QUATRE
ch,IMP21C,5,CINQ
ch,IMP21C,6,SIX
ch,IMP21C,7,SEPT
ch,IMP21C,8,NSP
ch,IMP21C,9,NON REPONSE
ch,IMP20D,1,OUI
ch,IMP20D,2,NON
ch,IMP20D,8,NSP
ch,IMP20D,9,NON REPONSE
ch,IMP21D,1,UNE
ch,IMP21D,2,DEUX
ch,IMP21D,3,TROIS
ch,IMP21D,4,QUATRE
ch,IMP21D,5,CINQ
